title,domain,url,description,published_at
William Barr did this nation a great service. He shouldn’t be attacked.,seattletimes.com,https://www.seattletimes.com/opinion/william-barr-did-this-nation-a-great-service-he-shouldnt-be-attacked/,The facts show that Barr has followed the letter and the spirit of the law.,2019-04-18T23:48:16Z
Joaquin Castro: Congress should ask Mueller if we should...,msnbc.com,https://www.msnbc.com/hardball/watch/joaquin-castro-congress-should-ask-mueller-if-we-should-proceed-with-impeachment-1499252291795,The Special Counsel report lays out the breathtaking steps Russia took to manipulate the American Democratic process during the 2016 presidential campaign. Congress Joaquin Castro says that Mueller should be brought in to Congress and asked if impeachment pro…,2019-04-18T23:48:00Z
MSNBC guest pounds Robert Mueller for failure to indict Don Jr: ‘He wimped out’,rawstory.com,https://www.rawstory.com/2019/04/msnbc-guest-pounds-robert-mueller-failure-indict-don-jr-wimped/,"Special Counsel Robert Mueller’s report is a devastating document for President Donald Trump and his administration, showing grossly objectionable behavior by top aides regarding Russian interference in the 2016 election and an aggressive effort by Trump hims…",2019-04-18T23:46:53Z
Trump just tried to blame Obama for Russia’s 2016 election interference,alternet.org,https://www.alternet.org/2019/04/trump-just-tried-to-blame-obama-for-russias-2016-election-interference/,"As analysts and reporters continue to pore over Special Counsel Robert Mueller’s report, President Donald Trump is in Florida, and he’s — what else? — tweeting out nonsense: Anything the… Related Stories These are the 4 times Fox News was referenced in the Mu…",2019-04-18T23:46:07Z
Here’s How The 2020 Democratic Contenders Responded To Mueller’s Report,huffpost.com,https://www.huffpost.com/entry/mueller-report-2020-democrat-response_n_5cb8e92fe4b06605e3ecc60c,"Trump's potential rivals demanded further obstruction investigations, launched petitions and accused Attorney General William Barr of spinning the report.",2019-04-18T23:44:12Z
Ocasio-Cortez says she'll sign on to impeachment proceedings after reading Mueller report,cnn.com,https://www.cnn.com/2019/04/18/politics/ocasio-cortez-impeachment-resolution/index.html,Rep. Alexandria Ocasio-Cortez said Thursday that she would support impeachment proceedings against President Donald Trump,2019-04-18T23:44:03Z
Senior Democrat Steny Hoyer: Impeachment of Donald Trump 'not worthwhile' at this point,usatoday.com,https://www.usatoday.com/story/news/politics/2019/04/18/mueller-report-steny-hoyer-says-impeaching-trump-not-worthwhile/3513685002/?utm_source=google&utm_medium=amp&utm_campaign=speakable,"House Majority Leader Steny Hoyer called impeachment proceedings against  President Trump ""not worthwhile,"" despite details in the special counsel report that Democrats called damning.",2019-04-18T23:44:00Z
Senior Democrat Steny Hoyer: Impeachment of Donald Trump 'not worthwhile' at this point,yahoo.com,https://news.yahoo.com/senior-democrat-steny-hoyer-impeachment-234400175.html,"House Majority Leader Steny Hoyer called impeachment proceedings against President Trump ""not worthwhile,"" despite details in the special counsel report that Democrats called damning.",2019-04-18T23:44:00Z
TOM FITTON ON FIRE! “The 448 Page Smear Operation” Against President Trump “Was Mueller’s Last Abuse of Power” (VIDEO),thegatewaypundit.com,https://www.thegatewaypundit.com/2019/04/tom-fitton-on-fire-the-448-page-smear-operation-against-president-trump-was-muellers-last-abuse-of-power-video/,Judicial Watch founder and president Tom Fitton went on with Lou Dobbs Tonight to discuss the Mueller Report and the exoneration of President Donald Trump. TOM FITTON WAS ON FIRE! He pegged the deep state Mueller Report for being the garbage hit piece that it…,2019-04-18T23:43:31Z
We've read the Mueller report. Here's what you need to know: ██ ██ ███ ███████ █████ ███ ██ █████ ████████ █████,theregister.co.uk,https://www.theregister.co.uk/2019/04/18/mueller_report_redacted/,Trump predicted he was 'fucked' – but he hadn't reckoned on ██████████ Analysis It's 448 pages of which roughly 50 have been blacked out.…,2019-04-18T23:43:24Z
"‘I could’ve fired EVERYONE, including Mueller!’ Trump explains what real obstruction would look like",rt.com,https://www.rt.com/usa/456963-trump-fire-mueller-obstruction/,"Donald Trump said the best proof of ‘no obstruction’ was the fact that he generously allowed Special Counsel Robert Mueller to conclude his futile Russiagate witch hunt, even though as president he had the power to end the probe. Read Full Article at RT.com",2019-04-18T23:43:24Z
"Mueller finds no conspiracy, but extensive Trump-Russia contacts",yahoo.com,https://news.yahoo.com/mueller-finds-no-conspiracy-extensive-trump-russia-contacts-234321246.html,"Ultimately, Mueller determined the various contacts either didn't amount to criminal behavior or would be difficult to prove in court, even if people in Trump's orbit sometimes displayed a willingness to accept Russian help, the report showed. Trump and his a…",2019-04-18T23:43:21Z
"Mueller finds no conspiracy, but extensive Trump-Russia contacts",reuters.com,https://www.reuters.com/article/us-usa-trump-russia-collusion-idUSKCN1RU2MA,"Special Counsel Robert Mueller may not have found evidence of a criminal conspiracy between Donald Trump's 2016 campaign and Russia, but his report details extensive contacts between the campaign and Russian operatives who sought to influence the election.",2019-04-18T23:43:21Z
"Should the Democrats Move to Impeach Trump? Some Say, “Yes.” Others Say, “No.” House Leaders Say, “How Are the Schools?”",motherjones.com,https://www.motherjones.com/politics/2019/04/should-democrats-impeach-trump/,"For as long as Trump has been in office there have been people who have thought he should be impeached. But with today’s release of Robert Mueller’s report, the population of Impeach Trump Town rose significantly. Some of these new residents are young and in …",2019-04-18T23:42:35Z
Facebook and the art of the news dump,cnn.com,https://www.cnn.com/2019/04/18/tech/facebook-news-dump/index.html,"On the Thursday before a major holiday weekend, and an hour before the much-anticipated Mueller report was released to the public, Facebook updated a month-old blog post titled ""Keeping Passwords Secure"" with a few lines of italicized text.",2019-04-18T23:42:25Z
"Full Show - Mueller Report Proves Trump Was Right All Along, No Collusion! - 04/18/2019",liveleak.com,https://www.liveleak.com/view?t=9aGyN_1555630941,"Attorney General William Barr's press conference detailing the findings of Mueller's report again revealed to Americans that there was no collusion between Trump's campaign and Russia. Trump tweeted a ""Game Over"" image calling out ""the haters and the radical …",2019-04-18T23:42:21Z
Former White House counsel Don McGahn resigned instead of firing Mueller,freerepublic.com,https://www.freerepublic.com/focus/f-chat/3743021/posts,"Special counsel Robert Muellers report confirms media reports that former White House counsel Don McGahn was pressured by Trump to fire Mueller. According to Muellers report, McGahn was directed by Trump to tell Deputy Attorney General Rod Rosenstein that …",2019-04-18T23:42:19Z
The Latest: Report links Senate intel chair to White House,lancasteronline.com,https://lancasteronline.com/news/politics/the-latest-report-links-senate-intel-chair-to-white-house/article_945c6cb1-c422-5b46-a50f-d17f32ee75da.html,WASHINGTON (AP) — The Latest on special counsel Robert Mueller's report on Russia and President Donald Trump (all times local):,2019-04-18T23:41:57Z
"Analysis: Donald Trump says 'Game Over' on the Russia probe, but Democrats say 'Game On'",abc.net.au,https://www.abc.net.au/news/2019-04-19/mueller-report-release-not-game-over-despite-donald-trump-tweet/11031876,"The 448-page report into Russian interference does not paint the Trump team in a good light and give the Democrats plenty of opportunities to keep digging, writes James Glenday.",2019-04-18T23:41:53Z
Why Democrats would be dumb to pursue impeachment now,cnn.com,https://www.cnn.com/2019/04/18/politics/mueller-report-impeachment-democrats/index.html,"Thursday's release of the 400-plus-page Mueller report detailing a 22-month investigation into Russian interference in the 2016 election creates a stark choice for congressional Democrats: Do they, or do they not, pursue impeachment proceedings built around t…",2019-04-18T23:41:46Z
These are the 4 times Fox News was referenced in the Mueller report — and why they make Trump look even worse,alternet.org,https://www.alternet.org/2019/04/these-are-the-4-times-fox-news-was-referenced-in-the-mueller-report-and-why-they-make-trump-look-even-worse/,"With the release of the redacted version of the Mueller report by Donald Trump’s plant in the Justice Department, Attorney General William Barr, there is going to be a flurry of furious… Related Stories Jimmy Carter: US is the ‘most warlike nation in history …",2019-04-18T23:41:46Z
Sarah Sanders' 'slip of the tongue' moment in the Mueller report,pbs.org,https://www.pbs.org/newshour/politics/sarah-sanders-slip-of-the-tongue-moment-in-the-mueller-report,Among the many new details in the redacted version of Robert Mueller's Russia report released Thursday: White House press Secretary Sarah Huckabee Sanders had no basis for suggesting FBI officials had lost faith in then-director James Comey at the time of his…,2019-04-18T23:40:47Z
"Mueller finds no conspiracy, but report shows Trump welcomed Russian help",latimes.com,https://www.latimes.com/politics/la-na-pol-mueller-report-trump-russia-collusion-20190418-story.html,"Shortly before he released the special counsel’s redacted report on Thursday, Atty. Gen. William Barr announced the document said President Trump’s campaign had not “conspired or coordinated with the Russian government in its election interference activities.…",2019-04-18T23:40:00Z
The speech Donald Trump will never give,cnn.com,https://www.cnn.com/2019/04/18/opinions/the-speech-trump-will-never-give-bergen/index.html,Peter Bergen on the words we need to hear from the President after the Mueller report: an outright condemnation of how Russia interfered in America's election system and a vow to make sure it never happens again.,2019-04-18T23:39:59Z
"Perez: This ‘Was a Sad Day’ for ‘The Institution of the Presidency,’ and the DOJ",breitbart.com,https://www.breitbart.com/clips/2019/04/18/perez-this-was-a-sad-day-for-the-institution-of-the-presidency-and-the-doj/,"On Thursday’s broadcast of the Fox News Channel’s “Special Report,” DNC Chair Tom Perez stated that the day was “a sad day for the institution of the presidency, a sad day for the institution of the Department of Justice,” and",2019-04-18T23:39:46Z
"Trump Really Said ‘I’m F**ked’!?! Pee Tape, Impeachment, & More MAJOR Mueller Report Findings!",perezhilton.com,https://perezhilton.com/donald-trump-quote-mueller-report-biggest-reveals-breakdown-explained/,"Yeah, yeah, we know. It seems like the type of thing we’d draw coming out of Donald Trump‘s mouth. But according to the Mueller Report, which was finally released on Thursday, this is really what the President of the United States said. When he found out Robe…",2019-04-18T23:38:35Z
The Mueller report makes a damning case that Trump obstructed justice,vice.com,https://news.vice.com/en_us/article/a3xd4e/the-mueller-report-makes-a-damning-case-that-trump-obstructed-justice,"“In layperson’s terms, he tried to obstruct justice.”",2019-04-18T23:38:34Z
AOC says she'll sign Tlaib's Trump impeachment resolution in wake of Mueller probe - Fox News,foxnews.com,https://www.foxnews.com/politics/aoc-says-shell-sign-tlaibs-trump-impeachment-resolution-in-wake-of-mueller-probe,"AOC says she'll sign Tlaib's Trump impeachment resolution in wake of Mueller probe Fox News Hours after the Department of Justice on Thursday released a redacted-version of Special Counsel Robert Mueller's report on the Russia investigation, Rep. View full co…",2019-04-18T23:38:24Z
The key takeaways in Mueller report - CNN,youtube.com,https://www.youtube.com/watch?v=kCa0GWxbNG4,The key takeaways in Mueller report CNN CNN's Toobin: Bill Barr May Have Spent The Last 20 Years Watching FOX News And Become A Real Trump Supporter RealClearPolitics CNN's Toobin: Mueller's findings on obstruction 'all but an explicit invitation to Congress'…,2019-04-18T23:37:45Z
Fox News’ Shepard Smith Delivered the Best Burn I Heard All Day,slate.com,https://slate.com/news-and-politics/2019/04/shepard-smith-fox-news-mueller-report.html,It was a controlled burn.,2019-04-18T23:37:43Z
Mueller’s report paints a damning portrait of Trump’s presidency,bostonglobe.com,https://www.bostonglobe.com/news/nation/2019/04/18/mueller-report-paints-damning-portrait-trump-presidency/IjYDFj2aI4rf3TqPbJ0VjN/story.html,Mueller’s report paints a damning portrait of Trump’s presidency,2019-04-18T23:36:25Z
The legal dispute between William Barr and Robert Mueller,bostonglobe.com,https://www.bostonglobe.com/opinion/2019/04/18/the-legal-dispute-between-barr-and-mueller/wv0BmogLrYaZzgJFmWjHmN/story.html,"Barr gets the better of the argument, both from a constitutional and policy perspective.",2019-04-18T23:36:25Z
Mueller Report Excerpts and Analysis,bostonglobe.com,https://www.bostonglobe.com/news/nation/2019/04/18/mueller-report-excerpts-and-analysis/c7ZwHaDW9niFvpdPPH5OtM/story.html,"WASHINGTON — After a sweeping, 22-month investigation, special counsel Robert Mueller found there was insufficient evidence to establish that President Donald Trump or his associates engaged in a criminal conspiracy with Russia to disrupt the 2016 election.",2019-04-18T23:36:25Z
Opinion | The Mueller report is riddled with Trump's lies and manipulation - The Washington Post,youtube.com,https://www.youtube.com/watch?v=9ucvc07ETP4,"Opinion | The Mueller report is riddled with Trump's lies and manipulation The Washington Post Donald Trump's Impeachment Begins or Ends With Mueller Report, MSNBC Host Says: Do Democrats 'Have the Guts to Act on it?' Newsweek View full coverage on Google News",2019-04-18T23:36:17Z
Watch: Kellyanne Conway Shreds Fake News After Mueller Report Exonerates Trump,infowars.com,https://www.infowars.com/watch-kellyanne-conway-shreds-fake-news-after-mueller-report-exonerates-trump/,White House counselor dismantles media talking points after report vindicates President.,2019-04-18T23:36:10Z
House Democrats okay subpoenas for five close Trump associates after release of redacted Mueller report: CNN,rawstory.com,https://www.rawstory.com/2019/04/house-democrats-okay-subpoenas-five-close-trump-associates-release-redacted-mueller-report-cnn/,"According to a report from CNN, House Democrats have given the okay to proceed with subpoenas aimed at getting testimony from five of President Donald Trump’s closest confidants. The report states that Democrats are seeking testimony from Hope Hicks, former W…",2019-04-18T23:36:06Z
"Mueller Report Busts Russian crime spree, Trump interference",msnbc.com,https://www.msnbc.com/the-beat-with-ari/watch/mueller-report-busts-russian-crime-spree-trump-interference-1499250243929,MSNBC’s Chief Legal Correspondent Ari Melber breaks down the many bombshells within Attorney General Bill Barr’s redacted version of Bob Mueller’s report on his Russia investigation. The report shows Mueller detailed numerous examples of Trump seeming to obst…,2019-04-18T23:36:06Z
Trump curses Mueller appointment: ‘This is the end of my presidency’,firstpost.com,https://www.firstpost.com/world/trump-curses-mueller-appointment-this-is-the-end-of-my-presidency-6477551.html,"By Ginger Gibson and Doina Chiacu WASHINGTON (Reuters) - U.S. President Donald Trump believed the appointment of a special counsel to take over the federal probe of Russian interference into the 2016 election would spell the end of his presidency, according t…",2019-04-18T23:36:00Z
Trump asked his lawyer to cross legal lines. The Mueller report shows how he pushed back.,washingtonpost.com,https://www.washingtonpost.com/politics/the-fix/trump-asked-his-lawyer-to-cross-legal-lines-the-mueller-report-shows-how-he-pushed-back/2019/04/18/17752c7f-2406-4192-9479-9467c9d0a616_story.html,The Mueller report debuted with an unlikely star: Don McGahn.,2019-04-18T23:35:54Z
Trump asked his lawyer to cross legal lines. The Mueller report shows how he pushed back.,washingtonpost.com,https://www.washingtonpost.com/politics/2019/04/18/trump-asked-his-lawyer-cross-legal-lines-mueller-report-shows-how-he-pushed-back/,The Mueller report debuted with an unlikely star: Don McGahn.,2019-04-18T23:35:54Z
Buttigieg says he wouldn't be opposed to having Phish play at his inauguration,thehill.com,https://thehill.com/homenews/campaign/439654-buttigieg-says-he-wouldnt-be-opposed-to-having-phish-play-at-his,"South Bend Mayor Pete Buttigieg (D) told a reporter on Thursday that he would consider inviting rock group Phish at his inauguration, but says he hasn't much thought that far ahead.Questioned by a...",2019-04-18T23:35:17Z
Ocasio-Cortez Backs Trump Impeachment Resolution After Mueller Report Release,breitbart.com,https://www.breitbart.com/politics/2019/04/18/ocasio-cortez-backs-trump-impeachment-resolution-after-mueller-report-release/,Freshman Rep. Alexandria Ocasio-Cortez (D-NY) declared Thursday that she will support a resolution demanding a new probe into whether President Trump should face impeachment following the release of special counsel Robert Mueller's report.,2019-04-18T23:35:11Z
The Mueller report is the opposite of exoneration (Washington Post),memeorandum.com,https://www.memeorandum.com/190418/p101,"Washington Post : The Mueller report is the opposite of exoneration — THE REPORT of special counsel Robert S. Mueller III is not what the American public had been led to expect. As Attorney General William P. Barr said last month, the special counsel found li…",2019-04-18T23:35:02Z
The agony and the ecstasy of the Mueller report,newstatesman.com,https://www.newstatesman.com/world/north-america/2019/04/agony-and-ecstasy-mueller-report,"Over 450 long-awaited pages, the Special Counsel says he can neither indict nor exonerate the president. "" data-adaptive-image-768-img="" "" data-adaptive-image-1024-img="" "" data-adaptive-image-max-img="" ""> The Mueller report is finally in the public eye – or a…",2019-04-18T23:34:52Z
"COLLUSION DELUSION: Mueller Report Released, Democrats Still Beating Dead Horse",sputniknews.com,https://sputniknews.com/radio_the_critical_hour/201904191074271768-mueller-report-released/,"On this episode of The Critical Hour, Dr. Wilmer Leon is joined by William Binney, former highly placed intelligence official with the United States National Security Agency turned whistle-blower; and Ray McGovern, former CIA analyst.",2019-04-18T23:33:00Z
‘The Biggest Piece Mueller Left Out’,foreignpolicy.com,http://foreignpolicy.com/2019/04/18/the-biggest-piece-mueller-left-out/,"“The money trail is the most important part of the unanswered questions,"" says former U.S. Ambassador to Russia Michael McFaul.",2019-04-18T23:32:44Z
Adam Schiff-ting: Trump is Unpatriotic  Doesnt Matter If Hes Innocent,freerepublic.com,https://www.freerepublic.com/focus/f-news/3743017/posts,"Back in March, Adam Schiff said that he had more than ample evidence showing collusion with Russia. He also have sustained that [Impeachment is] not the end game. I think the speaker has made very clear that in the absence of compelling evidence that there i…",2019-04-18T23:32:43Z
CNN Isn't taking the Mueller Report Very Well,liveleak.com,https://www.liveleak.com/view?t=sJWrC_1555630279,Damn cry babies.,2019-04-18T23:31:19Z
"Trump Beat the Rap, but Mueller Uncovered a Historic Scandal",nymag.com,http://nymag.com/intelligencer/2019/04/mueller-report-russia-scandal-trump-putin-collusion-obstruction.html,"The special prosecutor finds few new crimes, lots of misconduct, and a president acting like a mob boss to cover it all up.",2019-04-18T23:31:00Z
